,id,resolution,release_year,interaction_type,-log(kd/ki),binding_type,binding_affinity
8099,4e8z,3.05,2012,protein-ligand,,ic50,15.285186528023216
8100,3umx,2.55,2012,protein-ligand,,ic50,15.24262691360442
8101,4efu,2.0,2012,protein-ligand,,ic50,15.201804919084164
8102,4ea3,3.01,2012,protein-ligand,,ic50,22.032599156930175
8103,4ge5,2.0,2012,protein-ligand,,ic50,15.124843877948036
8104,4eox,1.78,2012,protein-ligand,,ic50,21.996231512759298
8105,4fcd,2.02,2012,protein-ligand,,ic50,21.996231512759298
8106,4frj,1.95,2012,protein-ligand,,ic50,15.088476233777161
8107,3rk7,1.8,2012,protein-ligand,,ic50,15.424948470398375
8108,4hlg,2.0,2012,protein-ligand,,ic50,14.98669353946722
8109,3u8h,2.3,2012,protein-ligand,,ic50,14.954944841152638
8110,3tnh,3.2,2012,protein-ligand,,ic50,14.865332682462952
8111,4dgn,1.75,2012,protein-ligand,,ic50,14.865332682462952
8112,3vjk,2.49,2012,protein-ligand,,ic50,21.71751811029028
8113,3vjm,2.1,2012,protein-ligand,,ic50,21.71751811029028
8114,4b5b,2.06,2012,protein-ligand,,ic50,14.764841143916628
8115,3rkb,2.0,2012,protein-ligand,,ic50,14.78309458422598
8116,3v8t,2.0,2012,protein-ligand,,ic50,21.927238641272346
8117,4hcv,1.48,2012,protein-ligand,,ic50,14.73180128983843
8118,3vrw,2.4,2012,protein-ligand,,ic50,21.614863956230195
8119,4a16,2.65,2012,protein-ligand,,ic50,21.56723590724094
8120,2ym5,2.03,2012,protein-ligand,,ic50,14.659480628258803
8121,4e5h,2.16,2012,protein-ligand,,ic50,14.659480628258803
8122,3zzh,2.1,2012,protein-ligand,,ic50,7.728735831051967
8123,3uwo,1.7,2012,protein-ligand,,ic50,14.636491110034104
8124,4hl5,2.2,2012,protein-ligand,,ic50,14.614018254182046
8125,3u8d,1.8,2012,protein-ligand,,ic50,14.570533142242306
8126,3ur9,1.65,2012,protein-ligand,,ic50,14.528860445841739
8127,4g31,2.28,2012,protein-ligand,,ic50,21.639556568820566
8128,4e26,2.55,2012,protein-ligand,,ic50,14.73180128983843
8129,4alg,1.6,2012,protein-ligand,,ic50,14.508657738524219
8130,4h3a,1.98,2012,protein-ligand,,ic50,14.48885511122804
8131,3rk9,1.85,2012,protein-ligand,,ic50,14.469437025370938
8132,4abu,1.86,2012,protein-ligand,,ic50,14.469437025370938
8133,4enx,2.8,2012,protein-ligand,,ic50,14.413347558719895
8134,4dgo,1.96,2012,protein-ligand,,ic50,14.377629476117816
8135,3v9b,2.1,2012,protein-ligand,,ic50,21.416413017506358
8136,4hld,2.0,2012,protein-ligand,,ic50,21.416413017506358
8137,3t4v,1.73,2012,protein-ligand,,ic50,14.508657738524219
8138,4a9m,2.06,2012,protein-ligand,,ic50,14.508657738524219
8139,4aaw,2.2,2012,protein-ligand,,ic50,14.508657738524219
8140,4f63,2.55,2012,protein-ligand,,ic50,14.508657738524219
8141,4b14,1.5,2012,protein-ligand,,ic50,14.326336181730264
8142,4hmh,2.3,2012,protein-ligand,,ic50,14.293546358907275
8143,3vjs,1.93,2012,protein-ligand,,ic50,14.261797660592693
8144,3qtw,1.85,2012,protein-ligand,,ic50,14.246293474056728
8145,3v8s,2.29,2012,protein-ligand,,ic50,14.246293474056728
8146,4dfl,1.98,2012,protein-ligand,,ic50,14.215988124561399
8147,4an3,2.1,2012,protein-ligand,,ic50,21.234091460712403
8148,4f4p,2.37,2012,protein-ligand,,ic50,21.234091460712403
8149,3s9z,1.79,2012,protein-ligand,,ic50,14.326336181730264
8150,4e5d,2.2,2012,protein-ligand,,ic50,14.326336181730264
8151,3tn8,2.95,2012,protein-ligand,,ic50,14.116615650748196
8152,3v6s,2.97,2012,protein-ligand,,ic50,21.01094790939819
8153,4akn,1.82,2012,protein-ligand,,ic50,14.051232891485345
8154,3u18,1.9,2012,protein-ligand,,ic50,14.026231589279927
8155,4e8w,2.87,2012,protein-ligand,,ic50,14.026231589279927
8156,4f49,2.25,2012,protein-ligand,,ic50,14.013961496688113
8157,4abv,1.8,2012,protein-ligand,,ic50,13.978029487462049
8158,4hlf,2.15,2012,protein-ligand,,ic50,13.954772625297782
8159,2ym6,2.01,2012,protein-ligand,,ic50,13.943343929474159
8160,4gw8,2.0,2012,protein-ligand,,ic50,13.943343929474159
8161,3uok,2.95,2012,protein-ligand,,ic50,20.94640938826062
8162,3saz,2.04,2012,protein-ligand,,ic50,14.038654109278484
8163,4ge2,1.8,2012,protein-ligand,,ic50,13.9208710736221
8164,4h38,1.95,2012,protein-ligand,,ic50,13.898892166903325
8165,4gg5,2.42,2012,protein-ligand,,ic50,20.795836529781248
8166,3qtr,1.85,2012,protein-ligand,,ic50,13.88808125079911
8167,3ugc,1.34,2012,protein-ligand,,ic50,13.869966743760333
8168,3tt0,2.8,2012,protein-ligand,,ic50,20.82862635260424
8169,4an2,2.5,2012,protein-ligand,,ic50,20.82862635260424
8170,4aqc,1.9,2012,protein-ligand,,ic50,20.82862635260424
8171,3u8w,2.15,2012,protein-ligand,,ic50,20.72326583694641
8172,2ym3,2.01,2012,protein-ligand,,ic50,13.815510557964274
8173,3udq,2.73,2012,protein-ligand,,ic50,13.815510557964274
8174,3uh2,2.0,2012,protein-ligand,,ic50,13.815510557964274
8175,3ue4,2.42,2012,protein-ligand,,ic50,20.627955657142085
8176,3sad,1.82,2012,protein-ligand,,ic50,13.72020037815995
8177,4awg,2.6,2012,protein-ligand,,ic50,13.72020037815995
8178,4hlh,1.75,2012,protein-ligand,,ic50,13.72020037815995
8179,4hlk,2.0,2012,protein-ligand,,ic50,13.72020037815995
8180,4hkn,2.05,2012,protein-ligand,,ic50,13.72020037815995
8181,4fod,2.0,2012,protein-ligand,,ic50,20.540944280152456
8182,4hdc,2.05,2012,protein-ligand,,ic50,20.540944280152456
8183,3vqh,1.95,2012,protein-ligand,,ic50,13.633189001170319
8184,4dgm,1.65,2012,protein-ligand,,ic50,13.633189001170319
8185,3r6t,1.2,2012,protein-ligand,,ic50,13.502160738763916
8186,3vf3,1.48,2012,protein-ligand,,ic50,13.500699818124241
8187,3rin,2.2,2012,protein-ligand,,ic50,20.46090157247892
8188,3v66,1.8,2012,protein-ligand,,ic50,20.46090157247892
8189,4b71,2.5,2012,protein-ligand,,ic50,13.553146293496782
8190,3vsx,2.8,2012,protein-ligand,,ic50,20.3867936003252
8191,3r9n,1.75,2012,protein-ligand,,ic50,13.479038321343062
8192,4ehm,2.2,2012,protein-ligand,,ic50,13.479038321343062
8193,2ym4,2.35,2012,protein-ligand,,ic50,13.41004544985611
8194,4a9n,1.85,2012,protein-ligand,,ic50,13.41004544985611
8195,3vyf,2.8,2012,protein-ligand,,ic50,20.253262207700676
8196,4f6v,2.3,2012,protein-ligand,,ic50,13.345506928718539
8197,4acf,2.0,2012,protein-ligand,,ic50,13.345506928718539
8198,4dcd,1.69,2012,protein-ligand,,ic50,13.244531011378536
8199,3qw7,1.5,2012,protein-ligand,,ic50,13.227723893062155
8200,4d8n,1.68,2012,protein-ligand,,ic50,13.227723893062155
8201,4dk8,2.75,2012,protein-ligand,,ic50,13.227723893062155
8202,4gz3,1.9,2012,protein-ligand,,ic50,13.227723893062155
8203,3vf9,2.3,2012,protein-ligand,,ic50,20.081411950774015
8204,4h3c,1.93,2012,protein-ligand,,ic50,13.17365667179188
8205,4a6w,1.46,2012,protein-ligand,,ic50,13.17365667179188
8206,4a6v,1.46,2012,protein-ligand,,ic50,13.17365667179188
8207,4awm,2.6,2012,protein-ligand,,ic50,13.17365667179188
8208,4hbx,1.62,2012,protein-ligand,,ic50,13.17365667179188
8209,4b12,1.79,2012,protein-ligand,,ic50,11.493122837674049
8210,4gto,2.15,2012,protein-ligand,,ic50,18.371890579782935
8211,3v5j,2.59,2012,protein-ligand,,ic50,18.334503047711312
8212,4fhi,2.4,2012,protein-ligand,,ic50,16.11809565095832
8213,3vbv,2.08,2012,protein-ligand,,ic50,11.512925464970229
8214,3vp3,2.7,2012,protein-ligand,,ic50,11.408565449645986
8215,4gtp,2.75,2012,protein-ligand,,ic50,18.28965248154596
8216,4g34,2.7,2012,protein-ligand,,ic50,18.2636769951427
8217,4ac3,2.1,2012,protein-ligand,,ic50,9.115030192171858
8218,4hv3,1.54,2012,protein-ligand,,ic50,9.070578429601024
8219,3rwi,2.01,2012,protein-ligand,,ic50,15.969675645840047
8220,3t0m,1.62,2012,protein-ligand,,ic50,9.06192036685791
8221,4e93,1.84,2012,protein-ligand,,ic50,15.952581212480746
8222,3udr,1.95,2012,protein-ligand,,ic50,11.417615285165903
8223,3unj,1.9,2012,protein-ligand,,ic50,11.417615285165903
8224,4a9i,2.25,2012,protein-ligand,,ic50,11.281813744006842
8225,4gts,2.45,2012,protein-ligand,,ic50,18.17382066602084
8226,4h1j,2.0,2012,protein-ligand,,ic50,13.633189001170319
8227,4gsy,1.71,2012,protein-ligand,,ic50,15.935774094164366
8228,4hn2,1.9,2012,protein-ligand,,ic50,15.86345343258474
8229,3u4i,2.12,2012,protein-ligand,,ic50,8.955698153602603
8230,3q92,2.8,2012,protein-ligand,,ic50,18.238359187158412
8231,3rah,1.75,2012,protein-ligand,,ic50,18.238359187158412
8232,4ael,2.2,2012,protein-ligand,,ic50,18.238359187158412
8233,4g55,1.69,2012,protein-ligand,,ic50,11.330603908176274
8234,3azb,2.6,2012,protein-ligand,,ic50,11.330603908176274
8235,3ntp,1.76,2012,protein-ligand,,ic50,11.330603908176274
8236,3s00,1.8,2012,protein-ligand,,ic50,11.330603908176274
8237,3vsw,3.0,2012,protein-ligand,,ic50,15.85573138649083
8238,3ti1,1.99,2012,protein-ligand,,ic50,8.947976107508692
8239,4fgz,1.99,2012,protein-ligand,,ic50,6.607650686531799
8240,4ajw,2.8,2012,protein-ligand,,ic50,13.482616142690945
8241,2ym8,2.07,2012,protein-ligand,,ic50,18.158316479484874
8242,3uzp,1.94,2012,protein-ligand,,ic50,18.158316479484874
8243,3v04,2.7,2012,protein-ligand,,ic50,18.158316479484874
8244,4eg4,3.15,2012,protein-ligand,,ic50,18.158316479484874
8245,4ehr,2.09,2012,protein-ligand,,ic50,18.158316479484874
8246,3twj,2.9,2012,protein-ligand,,ic50,18.049117187519883
8247,4d9p,2.26,2012,protein-ligand,,ic50,8.8387768155437
8248,3ril,2.4,2012,protein-ligand,,ic50,8.831903936255937
8249,4edy,1.72,2012,protein-ligand,,ic50,13.42346847018825
8250,3ua8,1.9,2012,protein-ligand,,ic50,18.08420850733115
8251,3vw6,2.4,2012,protein-ligand,,ic50,18.08420850733115
8252,4avu,2.4,2012,protein-ligand,,ic50,18.08420850733115
8253,4dfw,1.55,2012,protein-ligand,,ic50,18.08420850733115
8254,4fs3,1.8,2012,protein-ligand,,ic50,18.08420850733115
8255,4e5f,2.39,2012,protein-ligand,,ic50,11.107460356862065
8256,3vf8,2.08,2012,protein-ligand,,ic50,15.712630542850155
8257,3sgt,1.85,2012,protein-ligand,,ic50,8.804875263868018
8258,4egi,1.79,2012,protein-ligand,,ic50,8.804875263868018
8259,4eh4,2.5,2012,protein-ligand,,ic50,6.479876576037072
8260,3vv6,2.05,2012,protein-ligand,,ic50,8.759264752615966
8261,3uph,2.0,2012,protein-ligand,,ic50,18.0152156358442
8262,3qqk,1.86,2012,protein-ligand,,ic50,11.107460356862065
8263,3unk,2.1,2012,protein-ligand,,ic50,11.107460356862065
8264,4hup,1.7,2012,protein-ligand,,ic50,11.107460356862065
8265,4dh6,2.5,2012,protein-ligand,,ic50,17.901886950537197
8266,3sdk,2.7,2012,protein-ligand,,ic50,15.648092021712584
8267,3rwj,2.7,2012,protein-ligand,,ic50,17.95067711470663
8268,3s3i,1.8,2012,protein-ligand,,ic50,17.95067711470663
8269,4a9r,2.85,2012,protein-ligand,,ic50,17.95067711470663
8270,4aa5,2.38,2012,protein-ligand,,ic50,17.95067711470663
8271,3vv8,2.5,2012,protein-ligand,,ic50,10.97643209445566
8272,3vi2,2.1,2012,protein-ligand,,ic50,8.679712120914012
8273,4hlc,1.55,2012,protein-ligand,,ic50,15.564210537731881
8274,3s1h,1.75,2012,protein-ligand,,ic50,10.982297213908058
8275,3tiy,1.84,2012,protein-ligand,,ic50,10.982297213908058
8276,3vbx,2.03,2012,protein-ligand,,ic50,10.982297213908058
8277,3ztx,1.95,2012,protein-ligand,,ic50,17.81091517233147
8278,3vp4,2.45,2012,protein-ligand,,ic50,10.892348977245119
8279,4anx,2.73,2012,protein-ligand,,ic50,17.832894079050245
8280,4anw,2.31,2012,protein-ligand,,ic50,17.832894079050245
8281,4azy,1.79,2012,protein-ligand,,ic50,15.434998806251876
8282,4fzg,3.0,2012,protein-ligand,,ic50,17.778826857779972
8283,3tkm,1.95,2012,protein-ligand,,ic50,20.72326583694641
8284,4dei,2.05,2012,protein-ligand,,ic50,20.72326583694641
8285,3s9i,1.9,2012,protein-ligand,,ic50,13.122363377404328
8286,3udy,2.0,2012,protein-ligand,,ic50,13.122363377404328
8287,4b13,1.58,2012,protein-ligand,,ic50,13.122363377404328
8288,3vi5,2.0,2012,protein-ligand,,ic50,13.073573213234896
8289,3s68,1.85,2012,protein-ligand,,ic50,19.93480847658214
8290,3vnt,1.64,2012,protein-ligand,,ic50,19.93480847658214
8291,4bbf,2.0,2012,protein-ligand,,ic50,19.93480847658214
8292,3sh0,1.84,2012,protein-ligand,,ic50,13.027053197600004
8293,4ee0,1.75,2012,protein-ligand,,ic50,19.873114907576802
8294,3upy,1.8,2012,protein-ligand,,ic50,12.944217192020854
8295,4g9c,3.5,2012,protein-ligand,,ic50,19.890356714011308
8296,4b11,1.59,2012,protein-ligand,,ic50,12.98260143502917
8297,4dmn,2.45,2012,protein-ligand,,ic50,12.98260143502917
8298,4b00,1.83,2012,protein-ligand,,ic50,19.8312677976413
8299,4f65,2.26,2012,protein-ligand,,ic50,19.806975105072254
8300,3vrt,2.4,2012,protein-ligand,,ic50,19.730014063936128
8301,4awf,2.3,2012,protein-ligand,,ic50,12.822258784953991
8302,4fri,2.3,2012,protein-ligand,,ic50,12.768191563683715
8303,3rwg,2.1,2012,protein-ligand,,ic50,19.69364641976525
8304,4fcb,2.1,2012,protein-ligand,,ic50,19.658555099953983
8305,3r8v,1.9,2012,protein-ligand,,ic50,12.750799820971846
8306,4hkk,1.95,2012,protein-ligand,,ic50,12.750799820971846
8307,3upf,2.6,2012,protein-ligand,,ic50,15.424948470398375
8308,4d8i,1.38,2012,protein-ligand,,ic50,15.400255857808002
8309,3uxm,1.95,2012,protein-ligand,,ic50,10.819778284410283
8310,4huo,1.52,2012,protein-ligand,,ic50,10.819778284410283
8311,4e5g,2.65,2012,protein-ligand,,ic50,10.756803485248895
8312,3sz1,2.3,2012,protein-ligand,,ic50,10.733600588169232
8313,3qa2,2.52,2012,protein-ligand,,ic50,15.376158306228943
8314,3v1r,2.8,2012,protein-ligand,,ic50,17.678743399222988
8315,4anu,2.81,2012,protein-ligand,,ic50,17.678743399222988
8316,3qi1,2.3,2012,protein-ligand,,ic50,17.632223383588094
8317,4hbv,1.63,2012,protein-ligand,,ic50,10.680016342035124
8318,4a9c,2.1,2012,protein-ligand,,ic50,10.604666904793337
8319,4hej,2.0,2012,protein-ligand,,ic50,10.637456727616328
8320,3udj,1.8,2012,protein-ligand,,ic50,8.326572831807587
8321,3vc4,2.23,2012,protein-ligand,,ic50,17.545212006598465
8322,4avw,2.15,2012,protein-ligand,,ic50,17.545212006598465
8323,4awo,1.7,2012,protein-ligand,,ic50,17.545212006598465
8324,4ec4,3.3,2012,protein-ligand,,ic50,17.48851666292192
8325,4dea,2.45,2012,protein-ligand,,ic50,15.178088392466849
8326,3v01,2.71,2012,protein-ligand,,ic50,17.50439001207821
8327,4g19,2.0,2012,protein-ligand,,ic50,8.249076274459297
8328,3sd5,3.2,2012,protein-ligand,,ic50,15.154921333185314
8329,4hkp,1.75,2012,protein-ligand,,ic50,10.472648753315083
8330,4anm,1.7,2012,protein-ligand,,ic50,17.391061326771208
8331,4dem,1.85,2012,protein-ligand,,ic50,17.391061326771208
8332,4dhf,2.8,2012,protein-ligand,,ic50,17.391061326771208
8333,4h5c,2.02,2012,protein-ligand,,ic50,17.391061326771208
8334,3vby,2.27,2012,protein-ligand,,ic50,10.48330604778907
8335,4eh3,2.4,2012,protein-ligand,,ic50,8.138756755695992
8336,3avf,1.7,2012,protein-ligand,,ic50,8.128535201624455
8337,4d8c,2.07,2012,protein-ligand,,ic50,20.030118656386467
8338,4aa7,2.0,2012,protein-ligand,,ic50,13.122363377404328
8339,4h4m,2.85,2012,protein-ligand,,ic50,19.624653548278303
8340,4h2o,2.14,2012,protein-ligand,,ic50,12.716898269296165
8341,3uol,2.4,2012,protein-ligand,,ic50,19.591863725455312
8342,3qtq,1.8,2012,protein-ligand,,ic50,12.684108446473173
8343,3qts,1.9,2012,protein-ligand,,ic50,12.684108446473173
8344,3sgx,2.45,2012,protein-ligand,,ic50,12.652359748158593
8345,3vp1,2.3,2012,protein-ligand,,ic50,12.621588089491839
8346,3rik,2.48,2012,protein-ligand,,ic50,5.683979847360021
8347,3t3y,2.0,2012,protein-ligand,,ic50,12.591735126342158
8348,4fli,1.55,2012,protein-ligand,,ic50,12.537358355464086
8349,3uhm,1.26,2012,protein-ligand,,ic50,19.442331991484348
8350,4bbe,1.9,2012,protein-ligand,,ic50,19.442331991484348
8351,4drp,1.8,2012,protein-ligand,,ic50,12.454534004828673
8352,4dro,1.1,2012,protein-ligand,,ic50,12.454534004828673
8353,3r0w,1.7,2012,protein-ligand,,ic50,10.41431317630212
8354,3qw6,1.6,2012,protein-ligand,,ic50,8.111728083308073
8355,4hv7,1.87,2012,protein-ligand,,ic50,8.111728083308073
8356,3rwf,2.6,2012,protein-ligand,,ic50,15.002954060338999
8357,3tv7,2.75,2012,protein-ligand,,ic50,17.322068455284256
8358,3t0l,1.6,2012,protein-ligand,,ic50,10.41431317630212
8359,4af3,2.75,2012,protein-ligand,,ic50,17.289278632461265
8360,4hni,2.74,2012,protein-ligand,,ic50,17.257529934146685
8361,3udk,2.51,2012,protein-ligand,,ic50,10.349774655164548
8362,3vbg,2.8,2012,protein-ligand,,ic50,17.22675827547993
8363,3s0o,2.0,2012,protein-ligand,,ic50,10.319002996497794
8364,3udm,1.94,2012,protein-ligand,,ic50,10.319002996497794
8365,4eh6,2.1,2012,protein-ligand,,ic50,5.663312542102488
8366,4h71,1.93,2012,protein-ligand,,ic50,10.24400797200391
8367,4aa0,1.8,2012,protein-ligand,,ic50,17.167917775457
8368,4fhh,2.33,2012,protein-ligand,,ic50,17.167917775457
8369,3sgv,1.61,2012,protein-ligand,,ic50,10.26016249647486
8370,4deb,3.05,2012,protein-ligand,,ic50,14.807063774338976
8371,4d8a,2.18,2012,protein-ligand,,ic50,7.88592141457438
8372,3vqu,2.4,2012,protein-ligand,,ic50,17.11234792430219
8373,4aq3,2.4,2012,protein-ligand,,ic50,17.11234792430219
8374,3vbt,2.23,2012,protein-ligand,,ic50,10.20459264532005
8375,4ded,3.05,2012,protein-ligand,,ic50,17.080430321333882
8376,4fpf,2.23,2012,protein-ligand,,ic50,10.154516307339874
8377,4gtv,1.95,2012,protein-ligand,,ic50,17.085679677220025
8378,3ava,1.7,2012,protein-ligand,,ic50,10.13415937027113
8379,4afj,1.98,2012,protein-ligand,,ic50,14.736813831661973
8380,3vb6,2.5,2012,protein-ligand,,ic50,10.151948911834628
8381,4e3f,1.5,2012,protein-ligand,,ic50,5.809142990314028
8382,3umw,2.08,2012,protein-ligand,,ic50,19.624653548278303
8383,4foc,1.7,2012,protein-ligand,,ic50,19.624653548278303
8384,3rk5,2.0,2012,protein-ligand,,ic50,12.429216196844383
8385,3vjt,2.0,2012,protein-ligand,,ic50,12.404523584254012
8386,4ere,1.8,2012,protein-ligand,,ic50,19.288181311657087
8387,4ebv,1.67,2012,protein-ligand,,ic50,12.380426032674952
8388,4el9,1.55,2012,protein-ligand,,ic50,12.340747548856775
8389,4hby,1.59,2012,protein-ligand,,ic50,12.333906017040059
8390,3v3v,2.7,2012,protein-ligand,,ic50,12.289454254469225
8391,3vb5,1.95,2012,protein-ligand,,ic50,12.289454254469225
8392,3vv7,2.1,2012,protein-ligand,,ic50,12.289454254469225
8393,3sdi,2.65,2012,protein-ligand,,ic50,19.175703328230398
8394,4b3u,1.8,2012,protein-ligand,,ic50,12.267948049248261
8395,3rpy,1.9,2012,protein-ligand,,ic50,12.24689464005043
8396,3sqq,1.85,2012,protein-ligand,,ic50,12.24689464005043
8397,4h2j,1.81,2012,protein-ligand,,ic50,12.24689464005043
8398,4hbw,1.69,2012,protein-ligand,,ic50,12.24689464005043
8399,4ddl,2.07,2012,protein-ligand,,ic50,19.13403063182983
8400,3vi7,2.0,2012,protein-ligand,,ic50,17.024436051979308
8401,4acu,1.75,2012,protein-ligand,,ic50,17.017037744497863
8402,4dpf,1.8,2012,protein-ligand,,ic50,14.73180128983843
8403,3vyd,2.81,2012,protein-ligand,,ic50,14.716912677344679
8404,3rwh,2.6,2012,protein-ligand,,ic50,17.034386382832476
8405,3v4v,3.1,2012,protein-ligand,,ic50,16.985596218663044
8406,3av9,1.7,2012,protein-ligand,,ic50,7.74016452687559
8407,3rwe,2.4,2012,protein-ligand,,ic50,16.96206572125285
8408,4eg6,2.9,2012,protein-ligand,,ic50,16.96206572125285
8409,4anv,2.13,2012,protein-ligand,,ic50,14.634220961499565
8410,4an9,2.8,2012,protein-ligand,,ic50,16.93907620302815
8411,4ewo,1.8,2012,protein-ligand,,ic50,16.93907620302815
8412,4ez3,2.0,2012,protein-ligand,,ic50,10.008848068193954
8413,4eeh,1.6,2012,protein-ligand,,ic50,10.008848068193954
8414,4eg7,2.75,2012,protein-ligand,,ic50,16.894624440457317
8415,4hco,2.75,2012,protein-ligand,,ic50,9.957310359233635
8416,3vbq,1.85,2012,protein-ligand,,ic50,14.570533142242306
8417,4awq,1.6,2012,protein-ligand,,ic50,14.551565239535496
8418,3tkh,1.79,2012,protein-ligand,,ic50,16.87311823523635
8419,3uqp,1.77,2012,protein-ligand,,ic50,16.83553552408731
8420,3r8z,1.85,2012,protein-ligand,,ic50,9.923690259853647
8421,3vb4,2.2,2012,protein-ligand,,ic50,9.923690259853647
8422,3vb7,1.95,2012,protein-ligand,,ic50,9.923690259853647
8423,3s4q,2.27,2012,protein-ligand,,ic50,19.33697147582652
8424,4fzc,2.8,2012,protein-ligand,,ic50,19.33697147582652
8425,4dus,2.5,2012,protein-ligand,,ic50,19.11382792451231
8426,4fll,1.5,2012,protein-ligand,,ic50,12.1784574784972
8427,3t4h,1.65,2012,protein-ligand,,ic50,12.166851932376892
8428,4eb9,2.6,2012,protein-ligand,,ic50,19.03686688337618
8429,4flk,1.47,2012,protein-ligand,,ic50,12.096321781571055
8430,4di2,2.0,2012,protein-ligand,,ic50,19.018517744707985
8431,3sb0,2.2,2012,protein-ligand,,ic50,12.110762465725848
8432,3vjl,2.39,2012,protein-ligand,,ic50,19.000499239205308
8433,3rjc,1.85,2012,protein-ligand,,ic50,12.07504438312377
8434,4drm,1.48,2012,protein-ligand,,ic50,12.0576526404119
8435,4drn,1.07,2012,protein-ligand,,ic50,12.0576526404119
8436,3qbn,3.5,2012,protein-ligand,,ic50,18.94831348603474
8437,4ehv,1.6,2012,protein-ligand,,ic50,5.277926676900303
8438,4eh7,2.1,2012,protein-ligand,,ic50,7.5616817463888015
8439,4b95,2.8,2012,protein-ligand,,ic50,9.864266839382847
8440,4h36,3.0,2012,protein-ligand,,ic50,9.837699811998124
8441,4gb9,2.44,2012,protein-ligand,,ic50,14.431696697388091
8442,4eh9,2.1,2012,protein-ligand,,ic50,5.211589363038213
8443,4egh,1.6,2012,protein-ligand,,ic50,7.505592279737757
8444,3veu,1.52,2012,protein-ligand,,ic50,16.715932651713942
8445,4e1m,1.9,2012,protein-ligand,,ic50,16.715932651713942
8446,3th8,2.11,2012,protein-ligand,,ic50,14.395329053217216
8447,3ua9,2.15,2012,protein-ligand,,ic50,16.69791414621126
8448,3u4h,1.88,2012,protein-ligand,,ic50,9.790158867229126
8449,3uqr,3.06,2012,protein-ligand,,ic50,16.676711938560658
8450,4fpk,2.4,2012,protein-ligand,,ic50,9.765466254638753
8451,3uwk,1.91,2012,protein-ligand,,ic50,9.755067547417855
8452,4f8h,2.99,2012,protein-ligand,,ic50,9.755067547417855
8453,4dt6,2.6,2012,protein-ligand,,ic50,16.64572839304069
8454,4e3d,1.6,2012,protein-ligand,,ic50,5.298317366548036
8455,2ydj,1.85,2012,protein-ligand,,ic50,19.11382792451231
8456,3rvg,2.5,2012,protein-ligand,,ic50,19.11382792451231
8457,3tyq,1.6,2012,protein-ligand,,ic50,19.11382792451231
8458,4ejn,2.19,2012,protein-ligand,,ic50,19.11382792451231
8459,4fob,1.9,2012,protein-ligand,,ic50,19.11382792451231
8460,4hgs,2.4,2012,protein-ligand,,ic50,19.11382792451231
8461,3r8u,2.0,2012,protein-ligand,,ic50,12.206072645530174
8462,3udp,1.95,2012,protein-ligand,,ic50,12.02375108873622
8463,3up7,3.05,2012,protein-ligand,,ic50,18.914977065767147
8464,4h2m,1.78,2012,protein-ligand,,ic50,12.007221786785008
8465,3u6j,2.15,2012,protein-ligand,,ic50,18.898716544895365
8466,4anb,2.2,2012,protein-ligand,,ic50,18.83619618791403
8467,4h3b,2.08,2012,protein-ligand,,ic50,11.904487667909402
8468,4aac,2.5,2012,protein-ligand,,ic50,18.821158310549492
8469,3rni,1.95,2012,protein-ligand,,ic50,11.913403031567354
8470,4ask,1.86,2012,protein-ligand,,ic50,16.62892127472431
8471,4a9u,2.48,2012,protein-ligand,,ic50,16.62892127472431
8472,4deh,2.0,2012,protein-ligand,,ic50,14.306533554434084
8473,4a9s,2.66,2012,protein-ligand,,ic50,16.6123919727731
8474,3vid,2.3,2012,protein-ligand,,ic50,14.293546358907275
8475,4eyj,2.1,2012,protein-ligand,,ic50,14.293546358907275
8476,4eh8,2.2,2012,protein-ligand,,ic50,5.075653930470704
8477,4f64,2.05,2012,protein-ligand,,ic50,16.578545067399244
8478,3avl,1.88,2012,protein-ligand,,ic50,9.628890719633002
8479,4ega,2.7,2012,protein-ligand,,ic50,16.548878567050775
8480,4e1n,2.0,2012,protein-ligand,,ic50,16.518573217555446
8481,4azt,2.34,2012,protein-ligand,,ic50,9.596002852788168
8482,4eh2,2.0,2012,protein-ligand,,ic50,7.275924602346604
8483,3tti,2.2,2012,protein-ligand,,ic50,18.931506367718356
8484,3upi,2.0,2012,protein-ligand,,ic50,18.931506367718356
8485,4deg,2.0,2012,protein-ligand,,ic50,18.931506367718356
8486,4e20,2.6,2012,protein-ligand,,ic50,18.931506367718356
8487,4gtt,2.05,2012,protein-ligand,,ic50,18.931506367718356
8488,3vbw,2.48,2012,protein-ligand,,ic50,12.02375108873622
8489,3v5l,1.86,2012,protein-ligand,,ic50,18.7773556878911
8490,4dbn,3.15,2012,protein-ligand,,ic50,18.7773556878911
8491,3udn,2.19,2012,protein-ligand,,ic50,11.86960040890896
8492,4flj,1.74,2012,protein-ligand,,ic50,11.807296525572806
8493,3aza,2.7,2012,protein-ligand,,ic50,11.81403055775415
8494,3rwc,2.5,2012,protein-ligand,,ic50,18.695117589654124
8495,3vye,2.7,2012,protein-ligand,,ic50,18.682045508086773
8496,4em7,1.9,2012,protein-ligand,,ic50,11.774290229104636
8497,4hai,2.55,2012,protein-ligand,,ic50,18.656403077473435
8498,3v6r,2.6,2012,protein-ligand,,ic50,14.159410310414284
8499,3ur0,2.45,2012,protein-ligand,,ic50,16.474770594897052
8500,4a9t,2.7,2012,protein-ligand,,ic50,16.474770594897052
